# Compact pinyin → hanzi. Generated from mozillazg/pinyin-data (MIT).
a	吖呵啊嗄腌錒锕阿
ma	么亇傌吗唛嗎嘛嘜嚜妈媽嫲
mai	买佅劢勱卖咪哩唛嘪埋売派
man	僈埋墁姏嫚屘幔幕悗慢慲摱
mang	厖吂哤壾娏尨庬忙恾朚朦杗
mao	乮侔兞冃冇冐冒勖務卯堥夘
me	么没嚒嚜末濹癦麼麽
mei	没凂呅味嚜坆坶堳塺墨妹娒
men	们亹們呇怋悗悶惛懑懣扪捫
meng	明儚冡勐夢夣嫇孟尨幪庬懜
mi	侎冖冞冪劘咪嘧塓孊宓宻密
mian	面丏俛偭免冕冥勉勔喕娩婂
miao	仯吵喵妙媌嫹庙庿廟彯描杪
mie	乜吀咩咪哶孭幭懱搣櫗滅瀎
min	民僶冺刡勄厸呡垊姄岷崏忞
ming	明名佲冥凕命姳嫇慏掵暝朙
miu	嘐繆缪謬谬
mo	么没无万伯佰冒劘劰勿唜嗼
mou	件侔劺厶呣哞堥婺恈敄某桙
mu	亩仫凩募嘿坶墓墲姆姥娒婺
n	咹哏哽唔唵嗯
na	那乸内南吶呐呶哪嗱妠娜抐
nai	能那乃佴倷哪奈奶妳嬭孻廼
nan	侽冉南喃囝囡妠娚婻嫨弇戁
nang	乪儾噥嚢囊囔憹搑擃攮曩欜
nao	匘呶垴堖夒婥嫐孬峱嶩巎巙
ne	那呐呢哪抐疒疔眲訥讷
nei	那內内哪娞婑氝浽脮腇錗餒
nen	媆嫩嫰恁枘腝臑
neng	能而竜耐螚
ng	哽唔唵嗯
ni	你伱伲倪儗儞兒匿呢坭埿堄
nian	年卄哖唸埝姩廿念拈捵捻撚
niang	娘嬢孃酿醸釀
niao	嫋嬝嬲尥尿樢溺脲茑茮蔦袅
nie	乜倪哪啮喦嗫噛嚙囁囐囓囡
nin	囜恁您拰脌
ning	年佞侫倿儜冰凝咛嚀嬣宁寍
niu	妞忸怓扭抝拗杻汼沑炄牛牜
nong	侬儂农咔哝噥弄憹挊挵檂欁
nou	啂嬬搙擩槈檽獳羺耨譨譳鎒
nu	仅伮傉努呶奴孥帑弩怒挐搙
nuan	奻暖暧渜湪濡煖煗臑餪
nun	媆黁
nuo	那傩儺呐哪喏堧娜媠愞懦懧
nv	女恧朒沑狃籹絮聏胬衂衄釹
nve	婩疟瘧硸虐
o	哦喔噢嚄
ou	偶区區吘吽呕嘔塸怄慪握摳
pa	把叭吧啪妑帊帕怕扒掱杷汃
pai	俳哌啡廹徘拍排棑椑派渒湃
pan	乑伴冸判半卞叛坢姍媻審幋
pang	方乓仿傍厐厖嗙夆嫎尨庞彭
pao	刨包匏咆嚗垉奅庖抛抱拋摽
pei	伂佩俖倍呸啡坏垺培妃妚姵
pen	吩呠喯喷噴歕汾湓濆瓫盆翸
peng	亨倗傍傰剻匉嘭堋塜塳庄弸
pi	丕仳伓伾俾僻副劈匹卑吡否
pian	便偏囨媥平徧扁楄楩片犏猵
piao	僄剽勡嘌嫖彯徱慓摽旚朴殍
pie	丿嫳撆撇暼氕潎瞥苤蔽覕鐅
pin	匕品嚬姘娉娦嫔嬪拚拼榀汖
ping	乒俜倗冯凭凴呯坪堋塀娉屏
po	剖叵哱嘙坡奤婆尀尃屰岥岶
pou	部剖吥咅哣垺培堷娝婄抔抙
pu	仆僕剥匍卜噗圃圑圤埔堡墣
qi	起其己七丌乞亓亝亟企伎俟
qia	佉價冾卡咭圶客峠帢恰愘抲
